dteday,yr,mnth,season,weathersit,cnt,registered,casual
2011-03-16,2011,Maret,Musim Semi,Mendung,2192,1871,321
2011-03-17,2011,Maret,Musim Semi,Cerah,2744,2320,424
2011-03-18,2011,Maret,Musim Semi,Cerah,3239,2355,884
2011-03-19,2011,Maret,Musim Semi,Cerah,3117,1693,1424
2011-03-20,2011,Maret,Musim Semi,Cerah,2471,1424,1047
2011-03-21,2011,Maret,Musim Panas,Mendung,2077,1676,401
2011-03-22,2011,Maret,Musim Panas,Cerah,2703,2243,460
2011-03-23,2011,Maret,Musim Panas,Mendung,2121,1918,203
2011-03-24,2011,Maret,Musim Panas,Mendung,1865,1699,166
2011-03-25,2011,Maret,Musim Panas,Cerah,2210,1910,300
2011-03-26,2011,Maret,Musim Panas,Cerah,2496,1515,981
2011-03-27,2011,Maret,Musim Panas,Mendung,1693,1221,472
2011-03-28,2011,Maret,Musim Panas,Cerah,2028,1806,222
2011-03-29,2011,Maret,Musim Panas,Cerah,2425,2108,317
2011-03-30,2011,Maret,Musim Panas,Mendung,1536,1368,168
2011-03-31,2011,Maret,Musim Panas,Salju Ringan/Hujan,1685,1506,179
2011-04-01,2011,April,Musim Panas,Mendung,2227,1920,307
2011-04-02,2011,April,Musim Panas,Mendung,2252,1354,898
2011-04-03,2011,April,Musim Panas,Cerah,3249,1598,1651
2011-04-04,2011,April,Musim Panas,Cerah,3115,2381,734
2011-04-05,2011,April,Musim Panas,Mendung,1795,1628,167
2011-04-06,2011,April,Musim Panas,Cerah,2808,2395,413
2011-04-07,2011,April,Musim Panas,Cerah,3141,2570,571
2011-04-08,2011,April,Musim Panas,Mendung,1471,1299,172
2011-04-09,2011,April,Musim Panas,Mendung,2455,1576,879
2011-04-10,2011,April,Musim Panas,Mendung,2895,1707,1188
2011-04-11,2011,April,Musim Panas,Mendung,3348,2493,855
2011-04-12,2011,April,Musim Panas,Mendung,2034,1777,257
2011-04-13,2011,April,Musim Panas,Mendung,2162,1953,209
2011-04-14,2011,April,Musim Panas,Cerah,3267,2738,529
2011-04-15,2011,April,Musim Panas,Cerah,3126,2484,642
2011-04-16,2011,April,Musim Panas,Salju Ringan/Hujan,795,674,121
2011-04-17,2011,April,Musim Panas,Cerah,3744,2186,1558
2011-04-18,2011,April,Musim Panas,Cerah,3429,2760,669
2011-04-19,2011,April,Musim Panas,Mendung,3204,2795,409
2011-04-20,2011,April,Musim Panas,Cerah,3944,3331,613
2011-04-21,2011,April,Musim Panas,Cerah,4189,3444,745
2011-04-22,2011,April,Musim Panas,Mendung,1683,1506,177
2011-04-23,2011,April,Musim Panas,Mendung,4036,2574,1462
2011-04-24,2011,April,Musim Panas,Mendung,4191,2481,1710
2011-04-25,2011,April,Musim Panas,Cerah,4073,3300,773
2011-04-26,2011,April,Musim Panas,Cerah,4400,3722,678
2011-04-27,2011,April,Musim Panas,Mendung,3872,3325,547
2011-04-28,2011,April,Musim Panas,Mendung,4058,3489,569
2011-04-29,2011,April,Musim Panas,Cerah,4595,3717,878
2011-04-30,2011,April,Musim Panas,Cerah,5312,3347,1965
2011-05-01,2011,Mei,Musim Panas,Mendung,3351,2213,1138
2011-05-02,2011,Mei,Musim Panas,Mendung,4401,3554,847
2011-05-03,2011,Mei,Musim Panas,Mendung,4451,3848,603
2011-05-04,2011,Mei,Musim Panas,Mendung,2633,2378,255
2011-05-05,2011,Mei,Musim Panas,Cerah,4433,3819,614
2011-05-06,2011,Mei,Musim Panas,Cerah,4608,3714,894
2011-05-07,2011,Mei,Musim Panas,Cerah,4714,3102,1612
2011-05-08,2011,Mei,Musim Panas,Cerah,4333,2932,1401
2011-05-09,2011,Mei,Musim Panas,Cerah,4362,3698,664
2011-05-10,2011,Mei,Musim Panas,Cerah,4803,4109,694
2011-05-11,2011,Mei,Musim Panas,Cerah,4182,3632,550
2011-05-12,2011,Mei,Musim Panas,Cerah,4864,4169,695
2011-05-13,2011,Mei,Musim Panas,Mendung,4105,3413,692
2011-05-14,2011,Mei,Musim Panas,Mendung,3409,2507,902
2011-05-15,2011,Mei,Musim Panas,Mendung,4553,2971,1582
2011-05-16,2011,Mei,Musim Panas,Cerah,3958,3185,773
2011-05-17,2011,Mei,Musim Panas,Mendung,4123,3445,678
2011-05-18,2011,Mei,Musim Panas,Mendung,3855,3319,536
2011-05-19,2011,Mei,Musim Panas,Mendung,4575,3840,735
2011-05-20,2011,Mei,Musim Panas,Cerah,4917,4008,909
2011-05-21,2011,Mei,Musim Panas,Cerah,5805,3547,2258
2011-05-22,2011,Mei,Musim Panas,Cerah,4660,3084,1576
2011-05-23,2011,Mei,Musim Panas,Mendung,4274,3438,836
2011-05-24,2011,Mei,Musim Panas,Mendung,4492,3833,659
2011-05-25,2011,Mei,Musim Panas,Cerah,4978,4238,740
2011-05-26,2011,Mei,Musim Panas,Cerah,4677,3919,758
2011-05-27,2011,Mei,Musim Panas,Cerah,4679,3808,871
2011-05-28,2011,Mei,Musim Panas,Cerah,4758,2757,2001
2011-05-29,2011,Mei,Musim Panas,Cerah,4788,2433,2355
2011-05-30,2011,Mei,Musim Panas,Cerah,4098,2549,1549
2011-05-31,2011,Mei,Musim Panas,Cerah,3982,3309,673
2011-06-01,2011,Juni,Musim Panas,Mendung,3974,3461,513
2011-06-02,2011,Juni,Musim Panas,Cerah,4968,4232,736
2011-06-03,2011,Juni,Musim Panas,Cerah,5312,4414,898
2011-06-04,2011,Juni,Musim Panas,Cerah,5342,3473,1869
2011-06-05,2011,Juni,Musim Panas,Mendung,4906,3221,1685
2011-06-06,2011,Juni,Musim Panas,Cerah,4548,3875,673
2011-06-07,2011,Juni,Musim Panas,Cerah,4833,4070,763
2011-06-08,2011,Juni,Musim Panas,Cerah,4401,3725,676
2011-06-09,2011,Juni,Musim Panas,Mendung,3915,3352,563
2011-06-10,2011,Juni,Musim Panas,Cerah,4586,3771,815
2011-06-11,2011,Juni,Musim Panas,Cerah,4966,3237,1729
2011-06-12,2011,Juni,Musim Panas,Cerah,4460,2993,1467
2011-06-13,2011,Juni,Musim Panas,Cerah,5020,4157,863
2011-06-14,2011,Juni,Musim Panas,Cerah,4891,4164,727
2011-06-15,2011,Juni,Musim Panas,Cerah,5180,4411,769
2011-06-16,2011,Juni,Musim Panas,Mendung,3767,3222,545
2011-06-17,2011,Juni,Musim Panas,Cerah,4844,3981,863
2011-06-18,2011,Juni,Musim Panas,Cerah,5119,3312,1807
2011-06-19,2011,Juni,Musim Panas,Mendung,4744,3105,1639
2011-06-20,2011,Juni,Musim Panas,Mendung,4010,3311,699
2011-06-21,2011,Juni,Musim Gugur,Mendung,4835,4061,774
2011-06-22,2011,Juni,Musim Gugur,Cerah,4507,3846,661
2011-06-23,2011,Juni,Musim Gugur,Mendung,4790,4044,746
2011-06-24,2011,Juni,Musim Gugur,Cerah,4991,4022,969
2011-06-25,2011,Juni,Musim Gugur,Cerah,5202,3420,1782
2011-06-26,2011,Juni,Musim Gugur,Cerah,5305,3385,1920
2011-06-27,2011,Juni,Musim Gugur,Mendung,4708,3854,854
2011-06-28,2011,Juni,Musim Gugur,Cerah,4648,3916,732
2011-06-29,2011,Juni,Musim Gugur,Cerah,5225,4377,848
2011-06-30,2011,Juni,Musim Gugur,Cerah,5515,4488,1027
2011-07-01,2011,Juli,Musim Gugur,Cerah,5362,4116,1246
2011-07-02,2011,Juli,Musim Gugur,Cerah,5119,2915,2204
2011-07-03,2011,Juli,Musim Gugur,Mendung,4649,2367,2282
2011-07-04,2011,Juli,Musim Gugur,Mendung,6043,2978,3065
2011-07-05,2011,Juli,Musim Gugur,Cerah,4665,3634,1031
2011-07-06,2011,Juli,Musim Gugur,Cerah,4629,3845,784
2011-07-07,2011,Juli,Musim Gugur,Cerah,4592,3838,754
2011-07-08,2011,Juli,Musim Gugur,Mendung,4040,3348,692
2011-07-09,2011,Juli,Musim Gugur,Cerah,5336,3348,1988
2011-07-10,2011,Juli,Musim Gugur,Cerah,4881,3138,1743
2011-07-11,2011,Juli,Musim Gugur,Cerah,4086,3363,723
2011-07-12,2011,Juli,Musim Gugur,Cerah,4258,3596,662
2011-07-13,2011,Juli,Musim Gugur,Cerah,4342,3594,748
2011-07-14,2011,Juli,Musim Gugur,Cerah,5084,4196,888
2011-07-15,2011,Juli,Musim Gugur,Cerah,5538,4220,1318
2011-07-16,2011,Juli,Musim Gugur,Cerah,5923,3505,2418
2011-07-17,2011,Juli,Musim Gugur,Cerah,5302,3296,2006
2011-07-18,2011,Juli,Musim Gugur,Cerah,4458,3617,841
2011-07-19,2011,Juli,Musim Gugur,Cerah,4541,3789,752
2011-07-20,2011,Juli,Musim Gugur,Cerah,4332,3688,644
2011-07-21,2011,Juli,Musim Gugur,Mendung,3784,3152,632
2011-07-22,2011,Juli,Musim Gugur,Cerah,3387,2825,562
2011-07-23,2011,Juli,Musim Gugur,Cerah,3285,2298,987
2011-07-24,2011,Juli,Musim Gugur,Cerah,3606,2556,1050
2011-07-25,2011,Juli,Musim Gugur,Cerah,3840,3272,568
2011-07-26,2011,Juli,Musim Gugur,Cerah,4590,3840,750
2011-07-27,2011,Juli,Musim Gugur,Cerah,4656,3901,755
2011-07-28,2011,Juli,Musim Gugur,Cerah,4390,3784,606
2011-07-29,2011,Juli,Musim Gugur,Cerah,3846,3176,670
2011-07-30,2011,Juli,Musim Gugur,Cerah,4475,2916,1559
2011-07-31,2011,Juli,Musim Gugur,Cerah,4302,2778,1524
2011-08-01,2011,Agustus,Musim Gugur,Cerah,4266,3537,729
2011-08-02,2011,Agustus,Musim Gugur,Cerah,4845,4044,801
2011-08-03,2011,Agustus,Musim Gugur,Mendung,3574,3107,467
2011-08-04,2011,Agustus,Musim Gugur,Mendung,4576,3777,799
2011-08-05,2011,Agustus,Musim Gugur,Cerah,4866,3843,1023
2011-08-06,2011,Agustus,Musim Gugur,Mendung,4294,2773,1521
2011-08-07,2011,Agustus,Musim Gugur,Cerah,3785,2487,1298
2011-08-08,2011,Agustus,Musim Gugur,Cerah,4326,3480,846
2011-08-09,2011,Agustus,Musim Gugur,Cerah,4602,3695,907
2011-08-10,2011,Agustus,Musim Gugur,Cerah,4780,3896,884
2011-08-11,2011,Agustus,Musim Gugur,Cerah,4792,3980,812
2011-08-12,2011,Agustus,Musim Gugur,Cerah,4905,3854,1051
2011-08-13,2011,Agustus,Musim Gugur,Mendung,4150,2646,1504
2011-08-14,2011,Agustus,Musim Gugur,Mendung,3820,2482,1338
2011-08-15,2011,Agustus,Musim Gugur,Cerah,4338,3563,775
2011-08-16,2011,Agustus,Musim Gugur,Cerah,4725,4004,721
2011-08-17,2011,Agustus,Musim Gugur,Cerah,4694,4026,668
2011-08-18,2011,Agustus,Musim Gugur,Cerah,3805,3166,639
2011-08-19,2011,Agustus,Musim Gugur,Mendung,4153,3356,797
2011-08-20,2011,Agustus,Musim Gugur,Cerah,5191,3277,1914
2011-08-21,2011,Agustus,Musim Gugur,Cerah,3873,2624,1249
2011-08-22,2011,Agustus,Musim Gugur,Cerah,4758,3925,833
2011-08-23,2011,Agustus,Musim Gugur,Cerah,5895,4614,1281
2011-08-24,2011,Agustus,Musim Gugur,Cerah,5130,4181,949
2011-08-25,2011,Agustus,Musim Gugur,Mendung,3542,3107,435
2011-08-26,2011,Agustus,Musim Gugur,Cerah,4661,3893,768
2011-08-27,2011,Agustus,Musim Gugur,Mendung,1115,889,226
2011-08-28,2011,Agustus,Musim Gugur,Cerah,4334,2919,1415
2011-08-29,2011,Agustus,Musim Gugur,Cerah,4634,3905,729
2011-08-30,2011,Agustus,Musim Gugur,Cerah,5204,4429,775
2011-08-31,2011,Agustus,Musim Gugur,Cerah,5058,4370,688
2011-09-01,2011,September,Musim Gugur,Cerah,5115,4332,783
2011-09-02,2011,September,Musim Gugur,Mendung,4727,3852,875
2011-09-03,2011,September,Musim Gugur,Cerah,4484,2549,1935
2011-09-04,2011,September,Musim Gugur,Cerah,4940,2419,2521
2011-09-05,2011,September,Musim Gugur,Mendung,3351,2115,1236
2011-09-06,2011,September,Musim Gugur,Salju Ringan/Hujan,2710,2506,204
2011-09-07,2011,September,Musim Gugur,Salju Ringan/Hujan,1996,1878,118
2011-09-08,2011,September,Musim Gugur,Salju Ringan/Hujan,1842,1689,153
2011-09-09,2011,September,Musim Gugur,Mendung,3544,3127,417
2011-09-10,2011,September,Musim Gugur,Cerah,5345,3595,1750
2011-09-11,2011,September,Musim Gugur,Cerah,5046,3413,1633
2011-09-12,2011,September,Musim Gugur,Cerah,4713,4023,690
2011-09-13,2011,September,Musim Gugur,Cerah,4763,4062,701
2011-09-14,2011,September,Musim Gugur,Cerah,4785,4138,647
2011-09-15,2011,September,Musim Gugur,Mendung,3659,3231,428
2011-09-16,2011,September,Musim Gugur,Mendung,4760,4018,742
2011-09-17,2011,September,Musim Gugur,Mendung,4511,3077,1434
2011-09-18,2011,September,Musim Gugur,Cerah,4274,2921,1353
2011-09-19,2011,September,Musim Gugur,Mendung,4539,3848,691
2011-09-20,2011,September,Musim Gugur,Mendung,3641,3203,438
2011-09-21,2011,September,Musim Gugur,Mendung,4352,3813,539
2011-09-22,2011,September,Musim Gugur,Mendung,4795,4240,555
2011-09-23,2011,September,Musim Dingin,Mendung,2395,2137,258
2011-09-24,2011,September,Musim Dingin,Mendung,5423,3647,1776
2011-09-25,2011,September,Musim Dingin,Mendung,5010,3466,1544
2011-09-26,2011,September,Musim Dingin,Mendung,4630,3946,684
2011-09-27,2011,September,Musim Dingin,Mendung,4120,3643,477
2011-09-28,2011,September,Musim Dingin,Mendung,3907,3427,480
2011-09-29,2011,September,Musim Dingin,Cerah,4839,4186,653
2011-09-30,2011,September,Musim Dingin,Cerah,5202,4372,830
2011-10-01,2011,Oktober,Musim Dingin,Mendung,2429,1949,480
2011-10-02,2011,Oktober,Musim Dingin,Mendung,2918,2302,616
2011-10-03,2011,Oktober,Musim Dingin,Mendung,3570,3240,330
2011-10-04,2011,Oktober,Musim Dingin,Cerah,4456,3970,486
2011-10-05,2011,Oktober,Musim Dingin,Cerah,4826,4267,559
2011-10-06,2011,Oktober,Musim Dingin,Cerah,4765,4126,639
2011-10-07,2011,Oktober,Musim Dingin,Cerah,4985,4036,949
2011-10-08,2011,Oktober,Musim Dingin,Cerah,5409,3174,2235
2011-10-09,2011,Oktober,Musim Dingin,Cerah,5511,3114,2397
2011-10-10,2011,Oktober,Musim Dingin,Cerah,5117,3603,1514
2011-10-11,2011,Oktober,Musim Dingin,Mendung,4563,3896,667
2011-10-12,2011,Oktober,Musim Dingin,Salju Ringan/Hujan,2416,2199,217
2011-10-13,2011,Oktober,Musim Dingin,Mendung,2913,2623,290
2011-10-14,2011,Oktober,Musim Dingin,Mendung,3644,3115,529
2011-10-15,2011,Oktober,Musim Dingin,Cerah,5217,3318,1899
2011-10-16,2011,Oktober,Musim Dingin,Cerah,5041,3293,1748
2011-10-17,2011,Oktober,Musim Dingin,Cerah,4570,3857,713
2011-10-18,2011,Oktober,Musim Dingin,Mendung,4748,4111,637
2011-10-19,2011,Oktober,Musim Dingin,Salju Ringan/Hujan,2424,2170,254
2011-10-20,2011,Oktober,Musim Dingin,Cerah,4195,3724,471
2011-10-21,2011,Oktober,Musim Dingin,Cerah,4304,3628,676
2011-10-22,2011,Oktober,Musim Dingin,Cerah,4308,2809,1499
2011-10-23,2011,Oktober,Musim Dingin,Cerah,4381,2762,1619
2011-10-24,2011,Oktober,Musim Dingin,Cerah,4187,3488,699
2011-10-25,2011,Oktober,Musim Dingin,Cerah,4687,3992,695
2011-10-26,2011,Oktober,Musim Dingin,Mendung,3894,3490,404
2011-10-27,2011,Oktober,Musim Dingin,Mendung,2659,2419,240
2011-10-28,2011,Oktober,Musim Dingin,Mendung,3747,3291,456
2011-10-29,2011,Oktober,Musim Dingin,Salju Ringan/Hujan,627,570,57
2011-10-30,2011,Oktober,Musim Dingin,Cerah,3331,2446,885
2011-10-31,2011,Oktober,Musim Dingin,Cerah,3669,3307,362
2011-11-01,2011,November,Musim Dingin,Cerah,4068,3658,410
2011-11-02,2011,November,Musim Dingin,Cerah,4186,3816,370
2011-11-03,2011,November,Musim Dingin,Cerah,3974,3656,318
2011-11-04,2011,November,Musim Dingin,Mendung,4046,3576,470
2011-11-05,2011,November,Musim Dingin,Cerah,3926,2770,1156
2011-11-06,2011,November,Musim Dingin,Cerah,3649,2697,952
2011-11-07,2011,November,Musim Dingin,Cerah,4035,3662,373
2011-11-08,2011,November,Musim Dingin,Cerah,4205,3829,376
2011-11-09,2011,November,Musim Dingin,Cerah,4109,3804,305
2011-11-10,2011,November,Musim Dingin,Mendung,2933,2743,190
2011-11-11,2011,November,Musim Dingin,Cerah,3368,2928,440
2011-11-12,2011,November,Musim Dingin,Cerah,4067,2792,1275
2011-11-13,2011,November,Musim Dingin,Cerah,3717,2713,1004
2011-11-14,2011,November,Musim Dingin,Cerah,4486,3891,595
2011-11-15,2011,November,Musim Dingin,Mendung,4195,3746,449
2011-11-16,2011,November,Musim Dingin,Salju Ringan/Hujan,1817,1672,145
2011-11-17,2011,November,Musim Dingin,Mendung,3053,2914,139
2011-11-18,2011,November,Musim Dingin,Cerah,3392,3147,245
2011-11-19,2011,November,Musim Dingin,Cerah,3663,2720,943
2011-11-20,2011,November,Musim Dingin,Mendung,3520,2733,787
2011-11-21,2011,November,Musim Dingin,Salju Ringan/Hujan,2765,2545,220
2011-11-22,2011,November,Musim Dingin,Salju Ringan/Hujan,1607,1538,69
2011-11-23,2011,November,Musim Dingin,Mendung,2566,2454,112
2011-11-24,2011,November,Musim Dingin,Cerah,1495,935,560
2011-11-25,2011,November,Musim Dingin,Cerah,2792,1697,1095
2011-11-26,2011,November,Musim Dingin,Cerah,3068,1819,1249
2011-11-27,2011,November,Musim Dingin,Cerah,3071,2261,810
2011-11-28,2011,November,Musim Dingin,Cerah,3867,3614,253
2011-11-29,2011,November,Musim Dingin,Mendung,2914,2818,96
2011-11-30,2011,November,Musim Dingin,Cerah,3613,3425,188
2011-12-01,2011,Desember,Musim Dingin,Cerah,3727,3545,182
2011-12-02,2011,Desember,Musim Dingin,Cerah,3940,3672,268
2011-12-03,2011,Desember,Musim Dingin,Cerah,3614,2908,706
2011-12-04,2011,Desember,Musim Dingin,Cerah,3485,2851,634
2011-12-05,2011,Desember,Musim Dingin,Mendung,3811,3578,233
2011-12-06,2011,Desember,Musim Dingin,Salju Ringan/Hujan,2594,2468,126
2011-12-07,2011,Desember,Musim Dingin,Salju Ringan/Hujan,705,655,50
2011-12-08,2011,Desember,Musim Dingin,Cerah,3322,3172,150
2011-12-09,2011,Desember,Musim Dingin,Cerah,3620,3359,261
2011-12-10,2011,Desember,Musim Dingin,Cerah,3190,2688,502
2011-12-11,2011,Desember,Musim Dingin,Cerah,2743,2366,377
2011-12-12,2011,Desember,Musim Dingin,Cerah,3310,3167,143
2011-12-13,2011,Desember,Musim Dingin,Cerah,3523,3368,155
2011-12-14,2011,Desember,Musim Dingin,Mendung,3740,3562,178
2011-12-15,2011,Desember,Musim Dingin,Mendung,3709,3528,181
2011-12-16,2011,Desember,Musim Dingin,Mendung,3577,3399,178
2011-12-17,2011,Desember,Musim Dingin,Mendung,2739,2464,275
2011-12-18,2011,Desember,Musim Dingin,Cerah,2431,2211,220
2011-12-19,2011,Desember,Musim Dingin,Cerah,3403,3143,260
2011-12-20,2011,Desember,Musim Dingin,Mendung,3750,3534,216
2011-12-21,2011,Desember,Musim Semi,Mendung,2660,2553,107
2011-12-22,2011,Desember,Musim Semi,Mendung,3068,2841,227
2011-12-23,2011,Desember,Musim Semi,Cerah,2209,2046,163
2011-12-24,2011,Desember,Musim Semi,Cerah,1011,856,155
2011-12-25,2011,Desember,Musim Semi,Cerah,754,451,303
2011-12-26,2011,Desember,Musim Semi,Cerah,1317,887,430
2011-12-27,2011,Desember,Musim Semi,Mendung,1162,1059,103
2011-12-28,2011,Desember,Musim Semi,Cerah,2302,2047,255
2011-12-29,2011,Desember,Musim Semi,Cerah,2423,2169,254
2011-12-30,2011,Desember,Musim Semi,Cerah,2999,2508,491
2011-12-31,2011,Desember,Musim Semi,Cerah,2485,1820,665
2012-01-01,2012,Januari,Musim Semi,Cerah,2294,1608,686
2012-01-02,2012,Januari,Musim Semi,Cerah,1951,1707,244
2012-01-03,2012,Januari,Musim Semi,Cerah,2236,2147,89
2012-01-04,2012,Januari,Musim Semi,Mendung,2368,2273,95
2012-01-05,2012,Januari,Musim Semi,Cerah,3272,3132,140
2012-01-06,2012,Januari,Musim Semi,Cerah,4098,3791,307
2012-01-07,2012,Januari,Musim Semi,Cerah,4521,3451,1070
2012-01-08,2012,Januari,Musim Semi,Cerah,3425,2826,599
2012-01-09,2012,Januari,Musim Semi,Mendung,2376,2270,106
2012-01-10,2012,Januari,Musim Semi,Cerah,3598,3425,173
2012-01-11,2012,Januari,Musim Semi,Mendung,2177,2085,92
2012-01-12,2012,Januari,Musim Semi,Mendung,4097,3828,269
2012-01-13,2012,Januari,Musim Semi,Cerah,3214,3040,174
2012-01-14,2012,Januari,Musim Semi,Cerah,2493,2160,333
2012-01-15,2012,Januari,Musim Semi,Cerah,2311,2027,284
2012-01-16,2012,Januari,Musim Semi,Cerah,2298,2081,217
2012-01-17,2012,Januari,Musim Semi,Mendung,2935,2808,127
2012-01-18,2012,Januari,Musim Semi,Cerah,3376,3267,109
2012-01-19,2012,Januari,Musim Semi,Cerah,3292,3162,130
2012-01-20,2012,Januari,Musim Semi,Mendung,3163,3048,115
2012-01-21,2012,Januari,Musim Semi,Mendung,1301,1234,67
2012-01-22,2012,Januari,Musim Semi,Mendung,1977,1781,196
2012-01-23,2012,Januari,Musim Semi,Mendung,2432,2287,145
2012-01-24,2012,Januari,Musim Semi,Cerah,4339,3900,439
2012-01-25,2012,Januari,Musim Semi,Cerah,4270,3803,467
2012-01-26,2012,Januari,Musim Semi,Mendung,4075,3831,244
2012-01-27,2012,Januari,Musim Semi,Mendung,3456,3187,269
2012-01-28,2012,Januari,Musim Semi,Cerah,4023,3248,775
2012-01-29,2012,Januari,Musim Semi,Cerah,3243,2685,558
2012-01-30,2012,Januari,Musim Semi,Cerah,3624,3498,126
2012-01-31,2012,Januari,Musim Semi,Cerah,4509,4185,324
2012-02-01,2012,Februari,Musim Semi,Cerah,4579,4275,304
2012-02-02,2012,Februari,Musim Semi,Mendung,3761,3571,190
2012-02-03,2012,Februari,Musim Semi,Cerah,4151,3841,310
2012-02-04,2012,Februari,Musim Semi,Mendung,2832,2448,384
2012-02-05,2012,Februari,Musim Semi,Mendung,2947,2629,318
2012-02-06,2012,Februari,Musim Semi,Cerah,3784,3578,206
2012-02-07,2012,Februari,Musim Semi,Cerah,4375,4176,199
